case,problem,cores,single_makespan,makespan,pick_makespan,speedup,added_copy_bytes,spill_added_copy_bytes,cache_hit_rate,subgraphs,predicted,params,eval_file,solve_seconds,eval_seconds
case_004,3,4,392357,104188,104188,3.7659,331776,0,0.0,111,102090.8,"('C', 0.1, 16, 1.0)",results_all/eval/case_004_p3_n4.json,1.3,0.5
case_004,3,5,392357,88341,88341,4.4414,442368,0,0.0,111,82356.4,"('C', 0.1, 16, 1.0)",results_all/eval/case_004_p3_n5.json,1.1,0.5
case_005,1,1,95618,95618,95618,1.0,0,0,,1,92437.20000000001,"('A', 0.25, 16, 2.0, None, 'blc')",results/single/case_005_single.json,5.7,0.0
case_005,1,2,95618,77759,77759,1.2297,2574524,0,,63,73184.20000000004,"('A', 0.25, 16, 2.0, 16, 'blc')",results_all/eval/case_005_p1_n2.json,6.4,3.5
case_005,1,3,95618,69957,69957,1.3668,2500430,0,,99,58379.53333333337,"('A', 0.1, 16, 2.0, 8)",results_all/eval/case_005_p1_n3.json,6.8,3.5
case_005,1,4,95618,65775,65775,1.4537,2495960,0,,136,51385.333333333336,"('A', 0.25, 16, 2.0)",results_all/eval/case_005_p1_n4.json,7.3,3.8
case_005,1,5,95618,65775,67026,1.4537,2495960,0,,136,51385.333333333336,prev_n4,results_all/eval/case_005_p1_n5.json,7.9,9.0
case_005,2,1,95618,94960,94960,1.0,0,0,,48,92437.20000000001,"('B', 0.1, 16, 8.0, None, 'blc')",results_all/eval/case_005_p2_n1.json,5.2,2.6
case_005,2,2,95618,48769,48769,1.9606,694694,0,,641,48145.13333333333,"('B', 1.0, 16, 4.0)",results_all/eval/case_005_p2_n2.json,6.1,2.6
case_005,2,3,95618,43596,43596,2.1933,1354284,0,,1293,38288.80000000002,"('B', 0.1, 64, 2.0, None, 'blc')",results_all/eval/case_005_p2_n3.json,6.4,3.4
case_005,2,4,95618,36376,36376,2.6286,1354930,0,,879,32987.26666666667,"('B', 1.0, 16, 4.0)",results_all/eval/case_005_p2_n4.json,6.7,2.6
case_005,2,5,95618,36376,36376,2.6286,1354930,0,,879,32987.26666666667,prev_n4,results_all/eval/case_005_p2_n5.json,7.1,2.6
case_005,3,1,95618,94960,94960,1.0,0,0,0.0,48,92437.20000000001,"('C', 0.1, 64, 4.0, None, 'blc')",results_all/eval/case_005_p3_n1.json,5.6,2.4
case_005,3,2,95618,48177,48177,1.9847,799558,0,0.12349711888888318,826,47421.133333333346,"('C', 0.1, 64, 4.0, None, 'blc')",results_all/eval/case_005_p3_n2.json,6.6,3.2
case_005,3,3,95618,38545,38545,2.4807,1167820,0,0.20117704464205693,1200,36813.4,"('C', 0.1, 64, 4.0, None, 'blc')",results_all/eval/case_005_p3_n3.json,7.1,3.5
case_005,3,4,95618,34663,34663,2.7585,1363474,0,0.30870192140648345,1110,32075.466666666656,"('C', 0.1, 64, 4.0)",results_all/eval/case_005_p3_n4.json,7.4,2.9
case_005,3,5,95618,34663,35023,2.7585,1363474,0,0.30870192140648345,1110,32075.466666666656,prev_n4,results_all/eval/case_005_p3_n5.json,7.5,6.1
case_006,1,1,82837,82837,82837,1.0,16400,16400,,1,78931.35302972495,"('A', 0.1, 64, 1.0)",results/single/case_006_single.json,1.2,0.0
case_006,1,2,82837,43310,43310,1.9127,506252,0,,4,41653.700000000004,"('A', 0.25, 16, 2.0)",results_all/eval/case_006_p1_n2.json,1.1,0.5
case_006,1,3,82837,30284,30284,2.7353,406936,0,,6,28748.466666666667,"('A', 0.25, 16, 2.0)",results_all/eval/case_006_p1_n3.json,1.1,0.6
case_006,1,4,82837,28843,28843,2.872,673492,0,,13,24516.56666666667,"('A', 0.25, 16, 2.0, None, 'blc')",results_all/eval/case_006_p1_n4.json,1.4,0.5
case_006,1,5,82837,26284,26284,3.1516,628938,0,,14,22493.266666666674,"('A', 0.25, 16, 4.0)",results_all/eval/case_006_p1_n5.json,1.3,0.7
case_006,2,1,82837,78894,78894,1.0,0,0,,39,78892.56666666667,"('B', 0.1, 64, 8.0)",results_all/eval/case_006_p2_n1.json,0.9,0.5
case_006,2,2,82837,42039,42039,1.9705,322448,0,,48,41760.166666666664,"('B', 0.25, 16, 2.0)",results_all/eval/case_006_p2_n2.json,1.1,0.5
case_006,2,3,82837,28402,28402,2.9166,309540,0,,51,28125.166666666664,"('B', 0.25, 16, 2.0)",results_all/eval/case_006_p2_n3.json,1.0,0.6
case_006,2,4,82837,22934,22934,3.612,471730,0,,171,20978.833333333336,"('B', 0.1, 64, 2.0)",results_all/eval/case_006_p2_n4.json,1.2,0.5
case_006,2,5,82837,19160,19160,4.3234,344880,0,,67,18478.500000000004,"('B', 1.0, 16, 4.0)",results_all/eval/case_006_p2_n5.json,1.4,0.5
case_006,3,1,82837,78894,78894,1.0,0,0,0.0,39,78892.56666666667,"('C', 0.1, 64, 4.0)",results_all/eval/case_006_p3_n1.json,1.1,0.4
case_006,3,2,82837,41986,41986,1.973,308624,0,0.06446099377365401,48,41710.1,"('C', 0.25, 16, 8.0)",results_all/eval/case_006_p3_n2.json,1.0,0.4
case_006,3,3,82837,28251,28251,2.9322,420644,0,0.225192592575147,51,27974.166666666664,"('C', 1.0, 16, 1.0)",results_all/eval/case_006_p3_n3.json,1.3,0.5
case_006,3,4,82837,22101,22101,3.7481,384444,0,0.2607696291374128,51,20945.233333333334,"('C', 1.0, 16, 1.0)",results_all/eval/case_006_p3_n4.json,1.2,0.7
case_006,3,5,82837,18799,19495,4.4065,344880,0,0.18766902671001853,67,18478.500000000004,p2_plan,results_all/eval/case_006_p3_n5.json,1.4,1.0
case_007,1,1,1012562,1012562,1012562,1.0,0,0,,1,1012560.7999999999,"('A', 0.25, 16, 2.0)",results/single/case_007_single.json,5.9,0.0
case_007,1,2,1012562,507494,507494,1.9952,27648,0,,2,507312.8,"('A', 0.25, 16, 2.0)",results_all/eval/case_007_p1_n2.json,5.5,8.0
case_007,1,3,1012562,338094,338094,2.9949,55296,0,,3,338653.6,"('A', 0.25, 16, 1.0)",results_all/eval/case_007_p1_n3.json,6.0,5.4
case_007,1,4,1012562,254398,254398,3.9802,82944,0,,4,254749.6,"('A', 0.25, 16, 1.0)",results_all/eval/case_007_p1_n4.json,5.9,4.3
case_007,1,5,1012562,205554,205554,4.926,110592,0,,5,204528.80000000002,"('A', 0.25, 16, 2.0)",results_all/eval/case_007_p1_n5.json,6.8,3.6
case_007,2,1,1012562,1012562,1012562,1.0,0,0,,43,1012560.7999999999,"('B', 0.1, 16, 8.0)",results_all/eval/case_007_p2_n1.json,5.8,3.0
case_007,2,2,1012562,507494,507494,1.9952,27648,0,,94,507312.8,"('B', 0.1, 16, 8.0)",results_all/eval/case_007_p2_n2.json,5.5,2.5
case_007,2,3,1012562,338094,338094,2.9949,55296,0,,141,338653.6,"('B', 0.1, 16, 1.0)",results_all/eval/case_007_p2_n3.json,5.3,2.3
case_007,2,4,1012562,254398,254398,3.9802,82944,0,,187,254749.6,"('B', 0.1, 16, 1.0)",results_all/eval/case_007_p2_n4.json,4.5,2.1
case_007,2,5,1012562,205554,205554,4.926,110592,0,,279,204528.80000000002,"('B', 0.1, 16, 8.0)",results_all/eval/case_007_p2_n5.json,4.8,2.2
case_007,3,1,1012562,1012562,1012562,1.0,0,0,0.0,43,1012560.7999999999,"('C', 0.1, 64, 4.0)",results_all/eval/case_007_p3_n1.json,5.3,3.4
case_007,3,2,1012562,507494,507494,1.9952,27648,0,0.0,94,507312.8,"('C', 0.1, 64, 4.0)",results_all/eval/case_007_p3_n2.json,5.2,2.5
case_007,3,3,1012562,338094,338094,2.9949,55296,0,0.0,141,338346.39999999997,"('C', 0.1, 64, 4.0)",results_all/eval/case_007_p3_n3.json,5.0,2.1
case_007,3,4,1012562,254398,254398,3.9802,82944,0,0.0,187,254442.4,"('C', 0.1, 64, 4.0)",results_all/eval/case_007_p3_n4.json,5.0,2.1
case_007,3,5,1012562,203834,203834,4.9676,110592,0,0.0,280,203728.80000000002,"('C', 0.1, 64, 2.0)",results_all/eval/case_007_p3_n5.json,5.6,2.1
case_008,1,1,487605,487605,487605,1.0,0,0,,1,487603.2,"('A', 0.25, 16, 2.0)",results/single/case_008_single.json,1.3,0.0
case_008,1,2,487605,244266,244266,1.9962,0,0,,2,244262.43333333332,"('A', 0.25, 16, 2.0)",results_all/eval/case_008_p1_n2.json,1.1,1.0
case_008,1,3,487605,163359,163359,2.9849,0,0,,3,163353.66666666666,"('A', 0.25, 16, 2.0)",results_all/eval/case_008_p1_n3.json,1.3,0.9
case_008,1,4,487605,123060,123060,3.9623,0,0,,4,123052.9,"('A', 0.25, 16, 2.0)",results_all/eval/case_008_p1_n4.json,1.3,1.0
case_008,1,5,487605,100603,100603,4.8468,0,0,,5,100185.66666666666,"('A', 0.25, 16, 2.0)",results_all/eval/case_008_p1_n5.json,2.0,0.9
case_008,2,1,487605,487605,487605,1.0,0,0,,54,487603.2,"('B', 0.1, 16, 8.0)",results_all/eval/case_008_p2_n1.json,2.2,1.0
case_008,2,2,487605,244266,244266,1.9962,0,0,,108,244262.43333333332,"('B', 0.1, 16, 8.0)",results_all/eval/case_008_p2_n2.json,2.7,1.5
case_008,2,3,487605,163359,163359,2.9849,0,0,,108,163353.66666666666,"('B', 0.1, 16, 8.0)",results_all/eval/case_008_p2_n3.json,2.4,1.0
case_008,2,4,487605,123060,123060,3.9623,0,0,,108,123052.9,"('B', 0.1, 16, 8.0)",results_all/eval/case_008_p2_n4.json,1.7,0.9
case_008,2,5,487605,100603,100603,4.8468,0,0,,108,100185.66666666666,"('B', 0.1, 16, 8.0)",results_all/eval/case_008_p2_n5.json,1.9,0.7
case_008,3,1,487605,487605,487605,1.0,0,0,0.0,54,487603.2,"('C', 0.1, 64, 4.0)",results_all/eval/case_008_p3_n1.json,2.2,0.9
case_008,3,2,487605,244266,244266,1.9962,0,0,0.0,108,244262.43333333332,"('C', 0.1, 64, 4.0)",results_all/eval/case_008_p3_n2.json,2.1,0.8
case_008,3,3,487605,163359,163359,2.9849,0,0,0.0,108,163353.66666666666,"('C', 0.1, 64, 4.0)",results_all/eval/case_008_p3_n3.json,2.2,0.9
case_008,3,4,487605,123060,123060,3.9623,0,0,0.0,108,123052.9,"('C', 0.1, 64, 4.0)",results_all/eval/case_008_p3_n4.json,2.0,0.9
case_008,3,5,487605,100603,100603,4.8468,0,0,0.0,108,100185.66666666666,"('C', 0.1, 64, 4.0)",results_all/eval/case_008_p3_n5.json,2.0,0.8
case_009,1,1,153261,153261,153261,1.0,0,0,,1,145555.56666666665,"('A', 0.25, 16, 2.0)",results/single/case_009_single.json,9.6,0.0
case_009,1,2,153261,91571,91571,1.6737,377554,0,,60,90540.83333333342,"('A', 1.0, 64, 8.0)",results_all/eval/case_009_p1_n2.json,10.2,5.2
case_009,1,3,153261,88018,88018,1.7412,288852,0,,68,82585.5,"('A', 0.25, 16, 4.0)",results_all/eval/case_009_p1_n3.json,10.2,10.5
case_009,1,4,153261,80717,80717,1.8987,623744,0,,158,76635.03333333335,"('A', 1.0, 64, 8.0)",results_all/eval/case_009_p1_n4.json,10.8,7.2
case_009,1,5,153261,75332,75332,2.0345,744630,0,,192,70176.03333333322,"('A', 0.25, 16, 2.0)",results_all/eval/case_009_p1_n5.json,10.8,6.1
case_009,2,1,153261,151280,151280,1.0,0,0,,44,145555.56666666665,"('B', 0.1, 16, 8.0)",results_all/eval/case_009_p2_n1.json,8.0,4.2
case_009,2,2,153261,85956,85956,1.783,360678,0,,855,81298.36666666667,"('B', 1.0, 16, 4.0)",results_all/eval/case_009_p2_n2.json,8.9,4.7
case_009,2,3,153261,62457,62457,2.4539,699100,0,,1082,59493.16666666666,"('B', 0.1, 64, 2.0)",results_all/eval/case_009_p2_n3.json,10.7,4.6
case_009,2,4,153261,53648,53648,2.8568,851366,0,,1170,51139.5,"('B', 0.1, 64, 2.0)",results_all/eval/case_009_p2_n4.json,10.2,4.4
case_009,2,5,153261,51301,51301,2.9875,942486,0,,1205,46763.86666666667,"('B', 0.1, 64, 2.0)",results_all/eval/case_009_p2_n5.json,9.5,4.4
case_009,3,1,153261,151280,151280,1.0,0,0,0.0,44,145555.56666666665,"('C', 0.1, 64, 4.0)",results_all/eval/case_009_p3_n1.json,10.3,4.5
case_009,3,2,153261,85935,85935,1.7835,360678,0,0.0553262171249597,855,81298.36666666667,p2_plan,results_all/eval/case_009_p3_n2.json,10.7,4.6
case_009,3,3,153261,62437,62437,2.4547,699100,0,0.18760925732505085,1082,59493.16666666666,p2_plan,results_all/eval/case_009_p3_n3.json,10.2,4.8
case_009,3,4,153261,52822,52822,2.9015,847778,0,0.25020240196833443,1162,51072.65199999998,"('C', 0.1, 64, 2.0)",results_all/eval/case_009_p3_n4.json,10.8,5.0
case_009,3,5,153261,49095,49095,3.1217,981928,0,0.29290551597391806,1223,46117.76666666666,"('C', 0.1, 16, 1.0)",results_all/eval/case_009_p3_n5.json,10.7,5.0
case_010,1,1,86969,86969,86969,1.0,0,0,,1,86968.2,single,results/single/case_010_single.json,1.5,0.0
case_010,1,2,86969,45379,45379,1.9165,621836,0,,4,44501.333333333336,"('A', 0.25, 16, 2.0, None, 'blc')",results_all/eval/case_010_p1_n2.json,1.6,0.6
case_010,1,3,86969,33928,33928,2.5633,539164,0,,6,30401.43333333334,"('A', 0.25, 16, 1.0)",results_all/eval/case_010_p1_n3.json,1.2,0.5
case_010,1,4,86969,29410,29410,2.9571,494372,0,,8,24957.033333333333,"('A', 1.0, 16, 0.0)",results_all/eval/case_010_p1_n4.json,1.1,0.5
case_010,1,5,86969,25077,25077,3.4681,477352,0,,12,21743.866666666672,"('A', 0.25, 16, 2.0)",results_all/eval/case_010_p1_n5.json,1.4,0.7
case_010,2,1,86969,86969,86969,1.0,0,0,,1,86968.2,single,results_all/eval/case_010_p2_n1.json,1.2,0.4
case_010,2,2,86969,43556,43556,1.9967,392464,32768,,63,43438.333891959875,"('B', 0.25, 16, 2.0)",results_all/eval/case_010_p2_n2.json,1.0,0.4
case_010,2,3,86969,28307,28307,3.0723,352060,9216,,122,27515.408975859136,"('B', 0.1, 64, 8.0)",results_all/eval/case_010_p2_n3.json,0.9,0.4
case_010,2,4,86969,23782,23782,3.6569,340236,0,,130,21380.633333333335,"('B', 0.1, 64, 8.0)",results_all/eval/case_010_p2_n4.json,0.8,0.4
case_010,2,5,86969,21946,21946,3.9629,395416,0,,153,18957.13333333333,"('B', 0.1, 64, 8.0)",results_all/eval/case_010_p2_n5.json,1.2,0.5
case_010,3,1,86969,86969,86969,1.0,0,0,0.0,1,86968.2,single,results_all/eval/case_010_p3_n1.json,1.2,0.4
case_010,3,2,86969,43556,43556,1.9967,392464,32768,0.10571019138427992,63,43438.333891959875,p2_plan,results_all/eval/case_010_p3_n2.json,0.9,0.5
case_010,3,3,86969,27857,27857,3.122,455820,0,0.2183436297201333,122,27237.466666666667,"('C', 0.1, 64, 4.0)",results_all/eval/case_010_p3_n3.json,1.0,0.5
case_010,3,4,86969,23742,23742,3.6631,340236,0,0.1918485133426283,130,21380.633333333335,p2_plan,results_all/eval/case_010_p3_n4.json,1.2,0.4
case_010,3,5,86969,19944,19944,4.3607,500820,0,0.281671180500239,154,18827.946666666667,"('C', 0.1, 64, 4.0, None, 'blc')",results_all/eval/case_010_p3_n5.json,0.9,0.5
case_011,1,1,184697,184697,184697,1.0,0,0,,1,184694.66666666666,"('A', 0.25, 16, 2.0)",results/single/case_011_single.json,1.3,0.0
case_011,1,2,184697,92646,92646,1.9936,180224,0,,2,94723.46666666666,"('A', 0.25, 16, 2.0)",results_all/eval/case_011_p1_n2.json,1.3,0.5
case_011,1,3,184697,69625,69625,2.6527,901120,0,,3,69414.66666666666,"('A', 0.25, 16, 2.0)",results_all/eval/case_011_p1_n3.json,1.8,0.7
case_011,1,4,184697,46880,46880,3.9398,540672,0,,4,53117.06666666667,"('A', 0.25, 16, 2.0)",results_all/eval/case_011_p1_n4.json,1.5,0.8
case_011,1,5,184697,46777,46777,3.9485,1081344,0,,5,46358.66666666667,"('A', 1.0, 16, 2.0)",results_all/eval/case_011_p1_n5.json,2.9,0.7
case_011,2,1,184697,184697,184697,1.0,0,0,,16,184694.66666666666,"('B', 0.1, 16, 8.0)",results_all/eval/case_011_p2_n1.json,1.2,0.4
case_011,2,2,184697,92646,92646,1.9936,868352,0,,129,92573.06666666667,"('B', 0.1, 16, 8.0)",results_all/eval/case_011_p2_n2.json,1.2,0.4
case_011,2,3,184697,69536,69536,2.6561,1843200,0,,278,62569.33333333334,"('B', 0.1, 64, 8.0)",results_all/eval/case_011_p2_n3.json,1.7,0.6
case_011,2,4,184697,48745,48745,3.789,2031616,0,,273,46737.86666666667,"('B', 0.1, 16, 8.0)",results_all/eval/case_011_p2_n4.json,1.4,0.7
case_011,2,5,184697,47287,47287,3.9059,1622016,0,,16,46358.66666666667,"('B', 1.0, 64, 0.0)",results_all/eval/case_011_p2_n5.json,2.4,0.8
case_011,3,1,184697,184697,184697,1.0,0,0,0.0,16,184694.66666666666,"('C', 0.1, 64, 4.0)",results_all/eval/case_011_p3_n1.json,1.5,0.5
case_011,3,2,184697,92646,92646,1.9936,966656,0,0.10477941176470588,129,92573.06666666667,"('C', 0.1, 16, 1.0)",results_all/eval/case_011_p3_n2.json,1.5,0.7
case_011,3,3,184697,69500,69500,2.6575,2826240,0,0.40924092409240925,276,62569.33333333334,"('C', 0.1, 64, 4.0)",results_all/eval/case_011_p3_n3.json,1.7,0.7
case_011,3,4,184697,48273,48273,3.8261,2375680,0,0.2540983606557377,273,46737.86666666667,"('C', 0.1, 16, 1.0)",results_all/eval/case_011_p3_n4.json,1.5,0.8
case_011,3,5,184697,46777,46777,3.9485,1622016,0,0.6231060606060606,16,46358.66666666667,"('C', 1.0, 64, 0.0)",results_all/eval/case_011_p3_n5.json,2.5,0.6
case_012,1,1,59088,59088,59088,1.0,0,0,,1,54346.7,"('A', 0.25, 16, 2.0, None, 'blc')",results/single/case_012_single.json,2.1,0.0
